"question","answer","Questions","Answers","questions","answers"
"What is intimation under Section 143(1)?","Intimation refers to the processing of returns by the Centralised Processing Centre (CPC). In this, all Income-tax returns filed under Section 139 or in response to a notice under Section 142(1) are processed to verify and fix the arithmetical errors, apparent errors, tax calculation, and tax payments. At this stage, no verification of the income is undertaken.","","","",""
"Which adjustments shall be made by CPC to compute total income or loss while processing the ITR?","Income-tax return is processed to compute total income or loss after making the following adjustments: (a) Any arithmetical error in the return; (b) An incorrect claim apparent from any information in the return; (c) Any such inconsistency in the return with respect to the information in the return of any preceding previous year, as may be prescribed; (d) Disallowance of loss claimed if the return of the previous year for which set-off of loss is claimed was furnished beyond the due date; (e) Disallowance of expenditure or increase in income indicated in the audit report but not considered in computing the total income in return; (f) Disallowance of deduction claimed under Section 10AA or Chapter VIA if the return of income is furnished beyond the specified due date.","","","",""
"What is the meaning of an incorrect claim?","'An incorrect claim apparent from any information in the return' means a claim on the basis of an entry in the Income-tax return: (a) Which is inconsistent with another entry of the same or some other item in such return; (b) In respect of which, information required to be furnished to substantiate such claim, has not been furnished; (c) In respect of a deduction, where such deduction exceeds specified statutory limit which may have been expressed as monetary amount or percentage or ratio or fraction.","","","",""
"What is the time limit to issue intimation under section 143(1)?","Intimation is required to be issued within 9 months from the end of the financial year in which the return is furnished by the assessee.","","","",""
"What is the time limit allowed to the assessee to explain and rectify the arithmetical error or incorrect claim found by the CPC?","Before making any adjustment, an opportunity shall be provided to the assessee to explain and rectify the arithmetical error or incorrect claim within 30 days from the date of issue of intimation.","","","",""
"How to submit the response against the adjustment made by the CPC?","The response against the adjustment made by CPC has to be submitted through the e-filing account of the assessee without any need to visit the income tax department.","","","",""
"When is interest under Section 234A levied?","Interest under section 234A shall be levied if the Income-tax return is furnished after the due date or is not furnished.","","","",""
"What is the rate of interest that shall be charged under Section 234A?","Simple interest shall be charged at the rate of 1% per month or part thereof.","","","",""
"Which period shall be considered for interest under Section 234A if the return is furnished belatedly?","If the return is furnished after the due date specified in section 139(1), interest is charged from the day immediately following the due date until the date the return is furnished. Circular No. 2/2015 clarifies that no interest under section 234A is chargeable on self-assessment tax paid before the due date.","","","",""
"Which period shall be considered for interest under Section 234A if the return is not furnished?","If the return is not furnished, interest is charged from the day immediately following the due date until the date of completion of best judgment assessment.","","","",""
"Which period shall be considered for interest under section 234A if the return is furnished belatedly in re-assessment?","Where return is required under notice u/s 148 but furnished after the allowed time, interest is charged from the day immediately following expiry of time allowed until the date of furnishing return. Interest is charged on the excess tax determined under reassessment over completed assessment.","","","",""
"Which period shall be considered for interest under Section 234A if the return is not furnished in re-assessment?","Where return is required under notice u/s 148 but not furnished, interest is charged from the day immediately following expiry of time allowed until completion of reassessment. Interest applies on excess tax determined under reassessment over completed assessment.","","","",""
"Which period shall be considered for interest under Section 234A if the return is not furnished and an updated return is filed?","If original return is not furnished and an updated return is filed, interest is charged on self-assessment tax payable on updated return income, from the day immediately following original due date until the updated return filing date.","","","",""
"Which period shall be considered for interest under section 234A if the return is furnished and an updated return is also filed?","An assessee is not required to pay interest at the time of furnishing updated return if original/revised/belated return has already been filed for that year.","","","",""
"Whether interest under Section 234A shall be levied on the additional income tax payable under Section 140B?","No.","","","",""
"When is interest under Section 234B levied?","Interest under section 234B shall be levied if the assessee is liable to pay advance tax but fails to pay it or pays less than 90% of the assessed tax.","","","",""
"What is the meaning of assessed tax?","'Assessed tax' means tax on total income determined in assessment, reduced by TDS/TCS, MAT or AMT credit, relief under section 89, and foreign tax credit under sections 90, 90A, or 91.","","","",""
"What is the rate of interest that shall be charged under Section 234B?","Simple interest shall be charged at the rate of 1% per month or part thereof.","","","",""
"Which amount shall be considered to calculate interest under Section 234B if advance tax is not paid?","If advance tax is not paid, interest is charged on the whole amount of tax computed on total income.","","","",""
"Which amount shall be taken to calculate interest under Section 234B if the advance tax paid is less than 90% of the assessed tax?","Interest is charged on assessed tax minus advance tax paid. If self-assessment tax is paid u/s 140A, interest is computed up to payment date on shortfall, and thereafter on remaining shortfall.","","","",""
"Which period shall be considered for interest under section 234B if self-assessment tax is not paid?","If self-assessment tax is not paid, interest is charged from April 1 of the assessment year until determination u/s 143(1) or regular assessment date. If no additions are made, interest is charged till return filing date.","","","",""
"Which period shall be considered for interest under Section 234B if self-assessment tax is paid?","Interest is computed for two periods: (1) April 1 to date of self-assessment tax payment, and (2) from payment date to completion of assessment if liability increases.","","","",""
